算盘,abacus
警棍,truncheon
树干,trunk
桶,tub
块茎,tuber
拖船,tugboat
肿起的,tumid
乱哄哄的,tumultuous
混浊的,turbid
凶猛的,turbulent
浮肿的,turgid
混乱,turmoil
邪恶,turpitude
绿松石,turquoise
塔楼,turret
长牙,tusk
扭打,tussle
监护,tutelage
监护的,tutelary
礼服,tuxedo
胡说八道,twaddle
小枝,twig
生理,twinge
有钱有势的企业家,tycoon
暴虐的,tyrannical
暴君,tyrant
新手,tyro
无所不在的,ubiquitous
溃烂,ulcerate
较晚的,ulterior
最后的,ultimate
超俗的,ultramundane
不快,umbrage
裁判,umpire
不畏惧的,unabashed
草率的,unadvised
自然的,unaffected
未掺杂的,unalloyed
全体意见一致的,unanimous
不摆架子的,unassuming
无结果的,unavailing
未经请求的,unbidden
神秘的,uncanny
地图上没标明的,uncharted
不受约束的,uncommitted
无节制的,unconscionable
油腔滑调的,unctuous
不屈不挠的,undaunted
不光明的,underhanded
下属,underling
破坏,undermine
令人不悦的,undesirable
波动,undulate
挖出,unearth
空前的,unexampled
无尽的,unfailing
深不可测的,unfathomed
无忧无虑的,unfettered
无事实根据的,unfounded
笨拙的,ungainly
不留神的,unguarded
药膏,unguent
独角兽,unicorn
无可指摘的,unimpeachable
衣服,unkempt
无缘无故的,unprovoked
解开,unravel
粗野的,unruly
未受损伤的,unscathed
肆无忌惮的,unscrupulous
不适当,unseemly
清白的,unspotted
不造作的,unstudied
不幸的,untoward
不熟练的,unversed,adj
笨重的,unwieldy
无心的,unwitting
斥责,upbraid
动乱,upheaval
维护,uphold
室内装潢品地毯,upholstery
骄傲的,upstage
突然升官的人,upstart
高涨,upsurge
上升,upswing
焦虑不安的,uptight
温文尔雅的,urbane
熊的,ursine
领座员,usher
放高利贷的,usurious
放高利贷,usury
篡夺,usurp
工具,utensil
功利的,utilitarian
利用,utilize
乌托邦式的,utopian
宠爱妻子的,uxorious
空白,vacancy
空出,vacate
预防注射,vaccination
牛痘苗,vaccine
游移不定,vacillate
贫乏,vacuity
发呆的,vacuous
浪荡子,vagabond
奇想,vagary
自负的,vainglorious
告别演说,valediction
体弱的人,valetudinarian
勇敢的,valiant
英勇,valour
使⋯生效,validate
活门,valve
靴面,vamp
吸血鬼,vampire
恶意破坏,vandalism
肆意破坏,vandalize
前卫,vanguard
香草,vanilla
虚荣,vanity
征服,vanquish
索然无味的,vapid
变化性,variability
矛盾,variance
斑驳的,variegated
清漆,varnish
血管的,vascular
陪臣,vassal
拱顶,vault
吹嘘,vaunt
小牛肉,veal
转向,veer
象植物般生活,vegetate
植物,vegetation
猛烈的,vehement
交通工具,vehicle
速度,velocity
唯利是图的,venal
唯利是图,venality
世仇,vendetta
小贩,vendor
n镶面板,veneer
崇敬,venerate
报仇,vengeance
轻微的,venial
鹿肉,venison
毒液,venom
发泄,vent
使⋯通风,ventilate
诚实的,veracious
真实性,veracity
罗嗦,verbiage
冗长的,verbose
唠叨,verbosity
青葱的,verdant
判决,verdict
铜锈,verdigris
证明,verify
逼真,verisimilitude
害虫,vermin
本国语,vernacular
春季的,vernal
诗歌,verse
熟练的,versed
脊椎动物,vertebrate
顶角,vertex
直立的,vertical
令人眩晕的,vertiginous
眩晕,vertigo
神韵,verve
血管,vessel
法衣,vestment
衣服,vesture
兽医的,veterinary
否决,veto
困扰,vexation
可行的,viable
高架桥,viaduct
食品,viands
振动的,vibrant
生气勃勃,vibrancy
间接的,vicarious
附近,vicinity
残酷的,vicious
盛衰,vicissitudes
食物,victuals
机警的,vigilant
可恨的,vile
辱骂,vilify
邪恶的,villainous
精力,vim
证明⋯正确,vindicate,为⋯平反
洗冤,vindication
报复性的,vindictive
酸的,vinegared
酒商,vintner
有男子气的,virile
雄劲,virility
精湛技巧,virtuosity
演艺精湛的人,virtuoso
剧毒的,virulent
病毒,virus
脸,visage
粘度,viscosity
粘的,viscous
远景,vista
削弱,vitiate
刻薄的,vitriolic
痛斥,vituperate
辱骂的,vituperative
活泼的,vivacious
雌狐,vixen
流行歌手,vocalist
大叫大嚷,vociferate
喧哗的,vociferous
时髦,vogue
反复无常的,volatile
自决,volition
健谈,volubility
长篇的,voluminous
撩人的,voluptuous
耽于逸乐的人,voluptuary
狼吞虎咽的,voracious
贪食,voracity
漩涡,vortex
崇拜者,votary
窥淫狂者,voyeur
无教养的,vulgar
粗俗,vulgarity
易受攻击的,vulnerable
狐狸的,vulpine
竞争的,vying
古怪的,wacky
摇摇摆摆地走,waddle
涉水,wade
飘浮,waft
诙谐幽默者,wag,摆动
诙谐的,waggish
哀号,wail
放弃,waive
重击,wallop
在泥水中打滚,wallow
海象,walrus
虚弱的,wan
漫游癖,wanderlust
减少,wane
顽皮的,wanton
看守人,warden
衣橱,wardrobe
战争,warfare
好战者,warmonger
翘起,warp
正当理由,warrant
易怒的,waspish
败家子,wastrel
摇摆,waver
波浪形的,wavy
断奶,wean
黄鼠狼,weasel
古怪的,weird
焊接,weld
赖债不还,welsh
哄骗,wheedle
用⋯覆盖,whelm
磨快,whet
多变,whim
悲嗥,whimper
古怪的,whimsical
古怪,whimsy
哀号,whine
耳语,whisper
一点儿,whit
削,whittle
批发,wholesale
支配,wield
假发,wig
扭动,wiggle
诡计,wile
任性的,willful
狡猾,wiliness
狡猾的,wily
柳树,willow
苗条的,willowy
使⋯凋谢,wilt
避开,wince
蜿蜒的,winding
把的杂质吹掉,winnow
媚人的,winsome
撤退,withdraw
隐退的,withdrawn
枯萎,wither
干皱的,wizened
悲痛,woe
悲伤的,woeful
向求爱,woo
幽灵,wraith
争论,wrangle
愤怒,wrath
完全笼罩,wreathe
残骸,wreckage
扭,wrench
皱纹,wrinkle
命令状,writ
仇外,xenophobia
旱生植物,xerophyte
帆船,yacht
纱线,yarn
船,yaw
盼望,yearn
酵母,yeast
自耕农,yeoman
弯曲自如的,yielding
轭,yoke
乡巴佬,yokel
狂热份子,zealot
热心的,zealous
天顶,zenith
和风,zephyr
刺激性,zest
接合子,zygote
屠宰场,abattoir
咒语,abracadabra
苦艾酒,absinth
手风琴,accordion
粉刺,acne
缓慢的,adagio
补遗,addendum
即兴表演的,ad-lib
忙乱,ado
保护,aegis
爱好者,aficionado
玛瑙,agate
短吻鳄,alligator
轻快的,allegro
祭坛,altar
神仙食品,ambrosia
埋伏,ambush
护身符,amulet
苛责,animadvert
阳极,anode
鹿角,antler
开胃酒,aperitif
中风的,apoplectic
指责,arraign
债,arrears
砒霜,arsenic
动脉硬化,arteriosclerosis
沥青,asphalt
郑重声明,asseverate
孤独症,autism
验尸,autopsy
生长素,auxin
雨篷,awning
天蓝色的碧空,azure
积压未办之事,backlog
打趣,badinage
小事,bagatelle
胡言乱语,balderdash
阻止,balk
大肆宣传,ballyhoo
欺骗,bamboozle
放逐,banish
嘲弄,banter
三桅船,barque
火力网,barrage
一批,batch
淫猥的下流的,bawdy
喧闹的地方,bedlam
强壮的,beefy
打嗝,belch
愚昧的,benighted
停泊,berth
诽谤,besmirch
争吵,bicker
狂饮,binge
泄密,blab
奉承话,blarney
对享乐感到厌倦的,blase
退缩,blench
闪电战,blitz
轰动,blockbuster
烂醉的,blotto
走运,bonanza
健美的,bonny
痛饮,booze
享有自治权的市镇或区,borough
食物中毒,botulism
振奋精神的,bracing
有斑纹的,brindled
烤,broil
争吵,broil
丑角,buffoon
流浪,bum
粗人,bumpkin
疲倦的,bushed
过去的,bygone
牛栏,byre
贮藏,cache
优良标志,cachet
行乞,cadge
谨慎的,cagey
钟学,campanology
烛光,candela
溃疡,canker
羊毛上衣,cardigan
北美驯鹿,caribou
迎合,cater
阴极,cathode
鲸的,cetacean
变粗糙,chap
陪伴,chaperon
隐窟,chasm
城堡,chateau
被将死时王的位置,checkmate
变化,chequer
军警袖章,chevron
漂亮的,chic
隙缝,chink
胆小的,chinless
波涛汹涌的,choppy
圆胖的,chubby
放弃,chuck
呆子,chump
容易做的事情,cinch
冷湿的,clammy
对言行的限制或禁止,clampdown
明显的错误,clanger
幽闭恐怖症,claustrophobia
重要的转折点,climacteric
遗嘱的附录,codicil
节目主持人,compere
①熟读,con
习惯的,confirmed
婚姻的,conjugal
挫伤,contuse
卖弄风情,coquetry
加冕,coronation
应改正的错误,corrigendum
宠爱,cosset
表达,couch
出乎意料的行动,coup
恐吓,cow
欺骗,cozen
任人唯亲,cronyism
关键时刻,crunch
寝室,cubicle
胸甲,cuirass
执拗的,cussed
逗人喜爱的,cute
阴湿的,dank
衣冠楚楚的,dapper
缝补,darn
僵局,deadlock
美丽的,debonair
欺骗,decoy
防冰,deice
领地,demesne
合唱,descant
停止,desist
缓和(,detente
岩屑,detritus
委托,devolution
腹泻,diarrhoea
短剑,dirk
唱片分类目录,discography
使烦恼,discommode
心境不佳的,disgruntled
慌张,dither
剥夺,divestiture
轻而易举之事,doddle
欺骗,double-cross
贬低,downplay
被压制的,downtrodden
严峻的,draconian
流口水,drool
等级,echelon
胆怯的,eerie
省略,elide
长生不老药,elixir
给⋯⋯壮胆,embolden
催吐药,emetic
值得敬重的,estimable
极痛苦的,excruciating
封地,fief
苍穹,firmament
使大吃一惊,flabbergast
轻浮的,flighty
假恭维,flummery
使混乱,flummox
预先注定,foreordain
私通,fornicate
易碎的,friable
护航舰,frigate
使成卷发,frizz
衣着守旧的人,frump
恐惧,funk
瘦长得难看的,gangling
沙布,gauze
闷闷不乐的,glum
坡度,gradient
正面看台,grandstand
免费的,gratis
抱怨,gripe
软骨结构,gristle
进取心,gumption
陀螺仪,gyroscope
雇佣文人,hack
顽固的,hard-nosed
荒地,heath
异教徒,heathen
强壮的,hefty
褶边,hem
肝的保肝药,hepatic
乡下人,hillbilly
赶时髦的人,hipster
妖魔,hobgoblin
强制推销(,hucksterize
喧嚷声,hullabaloo
极好的人或事,humdinger
竞选演员,hustings
易湿的,hygroscopic
美洲大蜥蜴,iguana
扣押,impound
归途的,inbound
污垢,incrustation
暗示,inkling
侵袭,inroad
凹雕艺术,intaglio
阴险的,jesuitical
抛弃,jilt
不祥的人,jinx
颠簸,jolt
废物,junk
巨大的,jumbo
混乱,kerfuffle
迎合低级趣味的拙劣作品,kitsch
疲乏的,knackered
不诚实的人,knave
不稳定的,labile
懒汉,layabout
把⋯⋯比作,liken
碎石,macadam
小屋,maisonette
侏儒,manikin
使处于孤独无助之境(,maroon
镶嵌细工,marquetry
友善的,matey
众人渴望去的地方,mecca
温顺的,meek
巨石,megalith
合并,meld
兽群,menagerie
挤奶,milk
吝啬的,mingy
闲荡,mooch
小孩,moppet
榫眼用榫接合,mortise
赞美诗,motet
渐趋腐朽,moulder
堆肥,muck
揭发丑闻,muckrake
多愁善感的,mushy
真菌学,mycology
逮捕,nab
易生气的,narky
马嘶,neigh
下部的,nether
挑剔,niggle
辛辣的,nippy
一小杯,noggin
俯冲,nosedive
花束,nosegay
用鼻擦,nuzzle
伴奏,obbligato
淫秽的,obscene
抵销,offset
魔鬼的,ogreish
含油的,oleaginous
精力,oomph
演讲术,oratory
接吻,osculation
超脱尘世的,otherworldly
大胆地对付,outface
奇怪的,outre
篱笆,palisade
夸耀,panache
迎合,pander
幼儿,papoose
削去,pare
寒冷的,parky
从语法上分析,parse
混合作品,pastiche
浆糊的,pasty
拼缝物,patchwork
精明的,pawky
揭发,peach
美洲山核桃树,pecan
饿的,peckish
家谱,pedigree
远洋的,pelagic
棚架,pergola
绕语,periphrasis
绑住,pinion
非法翻印,piracy
微薄的收入,pittance
饰板,plaque
绒羽,plumule
门廊,portico
不易处理之事,poser
小花束,posy
烦恼,pother
神气活现地走(,prance
范围,precinct
章程,prospectus
平放,prostrate
变化多端的,protean
肺的,pulmonary
小狗,puppy
炼狱,purgatory
起义,putsch
绑腿,puttee
蟒蛇,python
不喜欢的,queasy
草草完成的劣品,quickie
爱挖苦的,quizzical
折磨,rack
轻浮的,raffish
葡萄干,raisin
诈骗,ramp
性欲冲动的,randy
彻底搜索,ransack
严厉指责,rap
劫掠,rapine
专注的,rapt
背叛,rat
狂欢聚会,razzle
精选的,recherche
重获,recoup
不服从规章的,recusant
提高,redound
恶臭,reek
反胃,regurgitate
重复谈论,rehash
肾脏的,renal
节省,retrench
翻新,revamp
摇摇晃晃的,rickety
冗长无聊的废话,rigmarole
下流的,risque
杂色马,roan
搅浑,roil
吵闹,rumpus
小袋,sachet
齐射(,salvo
精神分裂症,schizophrenia
大酒杯,schooner
瘦而多骨的,scraggy
山坡上的碎石堆,scree
吝啬鬼,scrooge
肮脏的,scruffy
压碎,scrunch
泡沫,scum
整枝用的大剪刀,secateurs
透明胶带,sellotape
管家,seneschal
败血症,sepsis
混乱之处,shambles
吵闹,shindy
残破的,shopsoiled
切成细条,shred
奸诈的人,shyster
发咝咝声的(,sibilant
滑稽短剧,skit
躲避工作,skive
逃避工作的人,slacker
泥泞的,slimy
迎奉的,smarmy
极佳的,smashing
碎片,smithereens
时髦的,snazzy
自大的,snooty
牢骚满腹的人,sourpuss
吸引,spellbind
爱好探索洞穴的人,spelunker
冰苔,sphagnum
滔滔不绝的讲话,spiel
小树林,spinney
有点不友好的,standoffish
添加燃料,stoke
乏味的食物,stodge
阻碍议事,stonewall
贫困的,straitened
唧唧鸣叫,stridulate
弹奏,strum
昂首阔步地走,strut
止血的,styptic
皮下的,subcutaneous
女妖,succubus
奢侈的,sumptuous
化脓(,suppurate
一定会发生的,surefire
豪饮,swig
刻苦学习的人,swot
突触,synapse
粘的,tacky
散布谣言者,talebearer
逐渐尖细,taper
耽搁,tarry
闲谈,tattle
不整洁的,tatty
临时雇员,temp
生手,tenderfoot
凸榫,tenon
坐立不安,tenterhooks
词典,thesaurus
很小的鱼,tiddler
给⋯⋯染色,tinge
使觉得痒,titillate
打扮自己,titivate
发生,transpire
梯形,trapezium
糖浆,treacle
踏车,treadmill
瞬间,trice
史前时代的穴居人,troglodyte
痛打,trounce
脆弱的,twee
旋转,twirl
嘲笑,twit
伤寒症,typhoid
汗多的,umpteen
笨拙的,uncouth
加固,underpin
轻描淡写,underplay
镇定的,unflappable
使发狂,unhinge
摄取,uptake
牢固的,vicelike
农奴,villein
胡扯,waffle
护壁板,wainscot
得到,wangle
冲刷,washout
分水岭,watershed
精疲力尽的,whacked
小船,wherry
头巾,wimple
荒原,wold
糊里糊涂的,woozy
泄愤,wreak
蛋黄,yolk
精神饱满的,zippy
解决方案,solution
大統領,presidential
選挙,election
堕落,corruption
胆小,coward
政治,political
了解,understood
道歉,apologised
电视,television
会见,interview
提高,improve
正义,justice
運動,campaigning
脅迫,threatened
暗杀,assassinate
起訴,accuse
4月,April
主張,insisted
混乱,confusion
発表,announcement
歌唱,vocal
批評家,critic
应用程序,applications
不可欠,Essential
